subject,group,trial,error
EC_006,EC,32,0.7408333324
EC_006,EC,33,1.6139583313
EC_006,EC,34,2.0902083307
EC_006,EC,35,3.3072916625
EC_006,EC,36,0.5027083327
EC_006,EC,37,3.0956249961
EC_006,EC,38,2.9897916629
EC_006,EC,39,3.0427083295
EC_006,EC,40,2.7252083299
EC_006,EC,41,2.1695833306
EC_006,EC,42,5.0006249937
EC_006,EC,43,6.3235416587
EC_006,EC,44,1.4816666648
EC_006,EC,45,3.5454166622
EC_006,EC,46,0.2381249997
EC_006,EC,47,2.1960416639
EC_006,EC,48,1.8256249977
EC_006,EC,49,3.3072916625
EC_006,EC,50,3.5189583289
EC_006,EC,51,4.1010416615
EC_006,EC,52,1.5610416647
EC_006,EC,53,1.7991666644000002
EC_006,EC,54,0.8202083323
EC_006,EC,55,3.174999996
EC_006,EC,56,1.1377083319
EC_006,EC,57,1.2170833318
EC_006,EC,58,2.2224999972
EC_006,EC,59,0.4497916661
EC_006,EC,60,1.5081249981
EC_006,EC,61,3.0162499962
EC_006,EC,62,0.3439583329
EC_006,EC,63,3.5718749955
EC_006,EC,64,2.8839583297
EC_006,EC,65,4.206874994700001
EC_006,EC,66,1.1906249985
EC_006,EC,67,4.7889583273000005
EC_006,EC,68,0.9260416655
EC_006,EC,69,-0.2910416663
EC_006,EC,70,1.1641666652
EC_006,EC,71,1.4287499982
EC_006,EC,72,5.3181249933000005
EC_006,EC,73,7.8845833234
EC_006,EC,74,1.3493749983
EC_006,EC,75,4.3656249945
EC_006,EC,76,0.0
EC_006,EC,77,-0.8731249989000001
EC_006,EC,78,-0.1322916665
EC_006,EC,79,0.2116666664
EC_006,EC,80,-0.264583333
EC_006,EC,81,1.7197916645
EC_006,EC,82,1.4816666648
EC_006,EC,83,2.0372916641
EC_006,EC,84,1.7462499978
EC_006,EC,85,3.7306249953
EC_006,EC,86,5.7679166594
EC_006,EC,87,1.4022916649
EC_006,EC,88,4.471458327700001
EC_006,EC,89,0.4233333328
EC_006,EC,90,0.5027083327
EC_006,EC,91,1.058333332
EC_006,EC,92,1.9049999976
EC_006,EC,93,2.7516666632
EC_006,EC,94,4.0481249949
EC_006,EC,95,0.1058333332
EC_006,EC,96,0.793749999
EC_006,EC,97,0.1852083331
EC_006,EC,98,1.3493749983
EC_006,EC,99,0.7408333324
EC_006,EC,100,-2.5929166634
