sim,group,true_beta_state,rec_beta_state,true_beta_obs,rec_beta_obs,true_r_sensory_base,rec_r_obs_base,waic
44,EC,1.0396968174802053,0.920228782696288,-1.5944411827297282,-0.78199294472226,1.5506177089423798,4.839486768469074,35497.727648088236
44,EO+,0.6660947142759368,0.32991347358344525,-0.41415560720667083,-0.05825487288820455,2.0032162245216885,5.316608528303968,35497.727648088236
44,EO-,0.6688985972572601,-0.15294275015784145,-0.16393935852103217,0.21133456063077222,2.0746228203629933,6.374703606249961,35497.727648088236
45,EC,1.0557114441366071,1.0876066750123856,-1.7304936007593807,-0.9498719502001505,1.5506177089423798,5.871946691403631,35602.42018357051
45,EO+,0.5560273367249403,0.5253970307910358,-0.39006152540072403,-0.38592505843760894,2.0032162245216885,5.704074598137945,35602.42018357051
45,EO-,0.15025893656281472,0.33860580425915315,0.2982236775350679,0.10730665280758137,2.0746228203629933,5.411943946331885,35602.42018357051
46,EC,1.154292465324808,1.4036330956611718,-1.7003560975896803,-1.5173153687851486,1.5506177089423798,5.186519192065175,35501.51874521562
46,EO+,0.6193663276051983,0.38267069268671583,-0.8891239802424663,-0.3376364311872501,2.0032162245216885,5.644497364065089,35501.51874521562
46,EO-,0.465239174079811,-0.027372653090437946,0.13804975211313228,0.30163318396136424,2.0746228203629933,5.4547586142919915,35501.51874521562
47,EC,1.1580202057504172,1.1512701821193663,-1.7138589209576303,-0.9814836936135045,1.5506177089423798,5.540166468324057,35555.87832029209
47,EO+,0.6735691117969917,0.5182249717358625,-0.2662213097066714,-0.12307331866126653,2.0032162245216885,5.440018120780826,35555.87832029209
47,EO-,0.42564454082716413,0.8875335748109232,0.06259820535791606,-0.298596751468903,2.0746228203629933,5.426533404859692,35555.87832029209
48,EC,1.1618494742217147,0.9776858330262148,-2.084920247012194,-1.1836916566056752,1.5506177089423798,5.3989840293701175,35140.4758886211
48,EO+,0.9214375779441342,0.6895893716961434,-0.8736540086414196,-0.16176995864618665,2.0032162245216885,4.878848477987802,35140.4758886211
48,EO-,0.4395743115066778,-0.03076957213833105,0.1137350797233669,0.31554853318700526,2.0746228203629933,5.1352694975444955,35140.4758886211
49,EC,1.01251880237953,1.0602854657903709,-1.4223255961750512,-0.9782280692296118,1.5506177089423798,6.173659874793498,35657.34489163
49,EO+,0.7049066184590109,0.5835955899634907,-0.5969139288513327,-0.28207723161582465,2.0032162245216885,5.160319974183075,35657.34489163
49,EO-,0.44623970222888726,0.3432884790599122,-0.04032873270202546,0.07079671128294825,2.0746228203629933,5.948110377978427,35657.34489163
50,EC,0.9174280029800823,1.0293062725149618,-1.4195638308326328,-1.0226902398705353,1.5506177089423798,6.414380128932305,35771.2133348694
50,EO+,0.728217847398877,0.31495182189936655,-0.43200693328820794,-0.15600412415366227,2.0032162245216885,5.630515759109782,35771.2133348694
50,EO-,0.4717054683160516,0.3035005762975037,0.06370944412899951,0.0963761671087569,2.0746228203629933,5.685201570910158,35771.2133348694
51,EC,1.0575596611434817,1.0124133635737103,-1.3891526765573572,-0.7545280324351092,1.5506177089423798,5.617187991695596,35497.82172302003
51,EO+,0.6907559262572206,0.3478743812964804,-0.4320670736096216,-0.0880092473750185,2.0032162245216885,5.09437617675643,35497.82172302003
51,EO-,0.02610702122262657,-0.30630174101403296,0.30050820686549723,0.29366047223144126,2.0746228203629933,5.509398819306089,35497.82172302003
52,EC,0.9957888045031437,1.2403819968270104,-1.5965778205996537,-1.0546647900309538,1.5506177089423798,5.234824049753547,35271.76221921216
52,EO+,0.5888938920819141,0.2981124333116,-0.43837243186822467,-0.20017638398617654,2.0032162245216885,5.464302871036756,35271.76221921216
52,EO-,0.35337472717670787,0.11535598775216245,0.13885231044311155,0.18440213319460647,2.0746228203629933,4.988827185682172,35271.76221921216
53,EC,1.1428123085492374,1.3356010107805947,-1.7064213527927719,-1.4780826888700527,1.5506177089423798,5.471122043427528,35540.56203553833
53,EO+,0.25961264757078956,0.2285940427560496,-0.0068027135324352445,-0.15231993576016264,2.0032162245216885,5.852835178967494,35540.56203553833
53,EO-,0.6684667960479498,0.7975358737493659,-0.24364020361067656,-0.2623101658090755,2.0746228203629933,5.183155339838023,35540.56203553833
54,EC,1.156780457899008,1.282257533101876,-1.691917876053126,-1.2424547890762967,1.5506177089423798,5.794923020139045,35697.42854247131
54,EO+,0.7265280324327659,0.5112676400245989,-0.4944059292514502,-0.2908806244335511,2.0032162245216885,5.70514967988424,35697.42854247131
54,EO-,0.25292952316111833,-0.2704767657086074,0.16549139931350004,0.2460659603294762,2.0746228203629933,5.508398563285114,35697.42854247131
55,EC,0.8521896216206978,0.6539457244810455,-1.1629258777470468,-0.7185168450998117,1.5506177089423798,6.05765910867515,35515.08766249884
55,EO+,0.24976901825704678,0.22150986905960726,-0.12044933182032193,-0.2766373448325411,2.0032162245216885,5.540870205940658,35515.08766249884
55,EO-,0.5445148527369,0.2623873152512197,-0.11565008453714744,0.11676664365311477,2.0746228203629933,5.621652698070317,35515.08766249884
56,EC,1.1241902999386852,1.0593221522806302,-1.3517878968658803,-0.8865127986256793,1.5506177089423798,6.0007315035526805,35517.986052822846
56,EO+,0.5299247426717535,0.4569933359152474,-0.27804520383564524,-0.16674008613288605,2.0032162245216885,5.502773836280351,35517.986052822846
56,EO-,0.44273230889115484,0.4922208802830853,0.09332630555391144,0.01178830602752015,2.0746228203629933,5.133495311773615,35517.986052822846
57,EC,1.2793399246600725,1.5023276013622255,-1.747921262585636,-1.3772748778028125,1.5506177089423798,5.11272227779091,35429.81911341899
